R,G,B,dBZ
0,0,0,
206,209,183,-10.00
203,206,181,-9.17
195,198,179,-8.33
188,192,175,-7.50
181,184,173,-6.67
174,178,172,-5.83
165,170,168,-5.00
158,164,166,-4.17
150,156,162,-3.33
143,150,160,-2.50
135,142,158,-1.67
128,135,156,-0.83
121,128,154,0.00
115,125,154,0.83
111,121,154,1.67
107,118,154,2.50
103,115,154,3.33
98,112,153,4.17
93,109,155,5.00
88,106,153,5.83
85,103,154,6.67
80,100,153,7.50
76,96,153,8.33
71,93,152,9.17
66,92,151,10.00
68,100,153,10.83
68,110,152,11.67
69,120,150,12.50
70,129,150,13.33
70,140,148,14.17
72,149,148,15.00
72,160,147,15.83
72,170,146,16.67
73,178,146,17.50
73,189,146,18.33
74,198,146,19.17
74,205,143,20.00
69,200,132,20.83
64,193,122,21.67
59,187,109,22.50
52,181,96,23.33
46,176,86,24.17
41,170,74,25.00
36,164,63,25.83
29,157,52,26.67
24,151,39,27.50
19,144,30,28.33
12,139,18,29.17
14,136,9,30.00
31,141,11,30.83
50,148,11,31.67
70,153,12,32.50
89,160,13,33.33
106,167,14,34.17
126,172,15,35.00
145,178,15,35.83
163,184,17,36.67
182,190,18,37.50
201,196,18,38.33
220,202,20,39.17
232,206,21,40.00
233,206,20,40.83
236,201,20,45.00
236,189,20,45.83
238,177,18,46.67
240,165,18,47.50
242,152,17,48.33
247,136,24,49.17
224,13,6,50.00
230,8,7,50.83
230,8,8,51.67
229,8,8,54.17
220,8,8,55.00
200,7,7,55.83
179,7,7,56.67
160,5,6,57.50
140,5,5,58.33
114,6,9,59.17
